epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1784.51,1.06766,1.36749,0.93669,0.9781,0.60598,0.72348,0.68884,0.5575,0.60354,0.7207,0.6858,0.52718,0.95376,1.19517,0.8587,0.97512,0.007591,0.007591,0.007591
75,1808.11,1.09187,1.40219,0.94937,0.99143,0.62218,0.69488,0.69909,0.5496,0.62177,0.69134,0.69836,0.53892,0.99011,1.20695,0.86603,0.99843,0.007558,0.007558,0.007558
76,1831.84,1.06067,1.36929,0.93177,0.9776,0.58309,0.69493,0.70005,0.56236,0.5811,0.69297,0.70014,0.54337,0.95704,1.18117,0.85588,0.98538,0.007525,0.007525,0.007525
77,1856.23,1.05085,1.34958,0.92797,0.97531,0.57909,0.75131,0.68656,0.54747,0.57572,0.74897,0.68747,0.53005,0.96661,1.18496,0.84469,0.98776,0.007492,0.007492,0.007492
78,1881.32,1.06323,1.37401,0.94489,0.97893,0.63699,0.72148,0.69481,0.5558,0.63592,0.71972,0.69376,0.52421,0.95295,1.19319,0.84986,0.98591,0.007459,0.007459,0.007459
79,1906.76,1.05587,1.39581,0.9382,0.98368,0.57412,0.69387,0.69085,0.54934,0.5734,0.69316,0.69129,0.53501,0.95309,1.19799,0.83937,0.9867,0.007426,0.007426,0.007426
80,1932.59,1.0505,1.36362,0.92266,0.97977,0.66523,0.67619,0.69265,0.55414,0.64793,0.68945,0.69479,0.52934,0.96235,1.17925,0.8661,0.97796,0.007393,0.007393,0.007393
81,1959.99,1.06953,1.38336,0.9384,0.98258,0.61179,0.70372,0.68284,0.54688,0.60617,0.6976,0.68167,0.53155,0.9533,1.18576,0.86009,0.97788,0.00736,0.00736,0.00736
82,1986.69,1.08319,1.4001,0.92136,0.98752,0.61417,0.72877,0.69121,0.55308,0.61565,0.72426,0.6908,0.52746,0.95834,1.19646,0.85924,0.98212,0.007327,0.007327,0.007327
83,2012.89,1.05896,1.35279,0.92312,0.98432,0.6107,0.67779,0.69264,0.5605,0.61001,0.67707,0.69178,0.53692,0.95674,1.18104,0.82604,0.9836,0.007294,0.007294,0.007294
84,2038.1,1.05969,1.37372,0.92431,0.98001,0.62024,0.71174,0.69397,0.56097,0.61807,0.70655,0.69536,0.53323,0.94545,1.16698,0.86466,0.97426,0.007261,0.007261,0.007261
85,2063.26,1.0788,1.40209,0.9377,0.98075,0.64269,0.66429,0.68477,0.54882,0.64291,0.66277,0.68563,0.53081,0.96077,1.17352,0.85,0.98289,0.007228,0.007228,0.007228
86,2088.23,1.05339,1.39064,0.9364,0.97436,0.60616,0.71266,0.6989,0.56875,0.60649,0.71218,0.69827,0.53657,0.94245,1.16722,0.85557,0.97417,0.007195,0.007195,0.007195
87,2112.9,1.06581,1.37467,0.92365,0.98038,0.65603,0.6602,0.70045,0.56555,0.6535,0.6576,0.69915,0.53714,0.95064,1.16967,0.8621,0.98182,0.007162,0.007162,0.007162
88,2137.48,1.05372,1.35619,0.92866,0.97569,0.60743,0.70102,0.68226,0.55356,0.60733,0.69901,0.68035,0.52926,0.94931,1.16377,0.85298,0.9716,0.007129,0.007129,0.007129
89,2162.92,1.05125,1.36509,0.92563,0.97508,0.60442,0.71191,0.70006,0.57167,0.60312,0.70958,0.69969,0.53892,0.94257,1.19175,0.82648,0.97424,0.007096,0.007096,0.007096
90,2189.35,1.05566,1.35933,0.92225,0.97482,0.67615,0.6612,0.70895,0.57821,0.67305,0.6585,0.70683,0.55034,0.94592,1.19416,0.83263,0.97493,0.007063,0.007063,0.007063
91,2214.81,1.05065,1.38646,0.92534,0.97117,0.64241,0.70504,0.69826,0.56263,0.6323,0.70868,0.70176,0.54127,0.94277,1.18244,0.83493,0.97667,0.00703,0.00703,0.00703
92,2240.64,1.05101,1.34224,0.9152,0.97302,0.59376,0.73243,0.70752,0.5735,0.59277,0.73127,0.70814,0.54519,0.9453,1.171,0.82038,0.9778,0.006997,0.006997,0.006997
93,2264.89,1.04396,1.3474,0.90337,0.97466,0.61221,0.67125,0.6762,0.54861,0.63125,0.66651,0.67634,0.5202,0.95685,1.18165,0.86156,0.97784,0.006964,0.006964,0.006964
94,2289.42,1.04448,1.36077,0.90965,0.97419,0.64027,0.73982,0.70401,0.56987,0.64133,0.74121,0.70415,0.53973,0.94541,1.18042,0.82918,0.97414,0.006931,0.006931,0.006931
95,2315.26,1.05573,1.34767,0.91843,0.9797,0.58645,0.74069,0.6863,0.56,0.58553,0.73967,0.68603,0.52597,0.95179,1.16524,0.85667,0.972,0.006898,0.006898,0.006898
96,2340.52,1.06981,1.38664,0.92152,0.97871,0.63028,0.69775,0.69428,0.56059,0.63247,0.69933,0.69723,0.53769,0.95957,1.19165,0.84372,0.97523,0.006865,0.006865,0.006865
97,2366.83,1.03682,1.35261,0.9148,0.97009,0.61093,0.72617,0.68823,0.56032,0.61107,0.72503,0.68896,0.52862,0.93357,1.18307,0.82275,0.96611,0.006832,0.006832,0.006832
98,2392.49,1.0467,1.37299,0.90241,0.97348,0.64276,0.71079,0.69639,0.5697,0.64386,0.7078,0.6978,0.53829,0.93926,1.17355,0.83438,0.96697,0.006799,0.006799,0.006799
99,2417.89,1.03524,1.34214,0.9072,0.97185,0.62122,0.71874,0.70094,0.57057,0.62071,0.71806,0.70006,0.53882,0.94157,1.17565,0.83143,0.96959,0.006766,0.006766,0.006766
100,2443.2,1.03907,1.35552,0.90829,0.96956,0.60822,0.68385,0.68541,0.55477,0.60805,0.68344,0.68371,0.52505,0.94544,1.1575,0.83493,0.96722,0.006733,0.006733,0.006733
101,2467.87,1.03086,1.34788,0.89698,0.96837,0.59594,0.7031,0.68462,0.56025,0.59606,0.70528,0.68759,0.53028,0.93498,1.17997,0.86068,0.96886,0.0067,0.0067,0.0067
102,2492.9,1.04653,1.35058,0.90985,0.97348,0.60854,0.70675,0.69803,0.57229,0.60652,0.70432,0.69812,0.54285,0.93419,1.17673,0.82138,0.9666,0.006667,0.006667,0.006667
103,2516.58,1.02285,1.31637,0.89096,0.96854,0.64754,0.6808,0.70279,0.57472,0.64898,0.68036,0.70293,0.54985,0.93517,1.16515,0.82522,0.97328,0.006634,0.006634,0.006634
104,2542.51,1.03843,1.35405,0.89964,0.96933,0.59795,0.73861,0.6949,0.57224,0.59614,0.73608,0.69683,0.5399,0.92186,1.16759,0.81305,0.96574,0.006601,0.006601,0.006601
105,2568.57,1.03738,1.34551,0.89766,0.97337,0.61577,0.7324,0.69959,0.57499,0.6163,0.73167,0.7001,0.54175,0.9318,1.16621,0.82008,0.96799,0.006568,0.006568,0.006568
106,2594.02,1.02984,1.32054,0.90228,0.97182,0.62443,0.68834,0.69328,0.56729,0.62593,0.68766,0.69498,0.53717,0.93322,1.16577,0.81965,0.97136,0.006535,0.006535,0.006535
107,2619.62,1.03259,1.32284,0.89418,0.96988,0.66639,0.68136,0.6948,0.56512,0.66506,0.68048,0.69436,0.5411,0.94049,1.17014,0.81569,0.97779,0.006502,0.006502,0.006502
108,2645.31,1.04372,1.34339,0.90056,0.97079,0.62581,0.70521,0.69689,0.57375,0.62428,0.70369,0.69791,0.54238,0.93051,1.16603,0.81756,0.96762,0.006469,0.006469,0.006469
109,2672.6,1.03325,1.3329,0.89261,0.97099,0.65439,0.72972,0.6991,0.56281,0.65255,0.72783,0.69757,0.53822,0.9555,1.16219,0.82203,0.9795,0.006436,0.006436,0.006436
110,2698.93,1.02783,1.34567,0.8905,0.96804,0.64691,0.70556,0.70266,0.57543,0.66155,0.70232,0.70377,0.54281,0.9273,1.16428,0.80517,0.96605,0.006403,0.006403,0.006403
