epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,7134.96,1.02008,1.3255,0.88989,0.99027,0.72774,0.66212,0.71064,0.57744,0.72733,0.66144,0.70998,0.54227,0.93602,1.17784,0.81561,0.99896,0.006997,0.006997,0.006997
93,7210.68,1.0191,1.33941,0.87967,0.99502,0.59572,0.69395,0.6995,0.56565,0.59474,0.69268,0.69862,0.53,0.93389,1.17515,0.8359,1.00062,0.006964,0.006964,0.006964
94,7282.63,1.01105,1.34569,0.89037,0.98932,0.66573,0.70926,0.70988,0.57241,0.6626,0.70376,0.70574,0.53281,0.92693,1.19221,0.83979,0.99308,0.006931,0.006931,0.006931
95,7361.05,1.01712,1.33034,0.88537,0.98882,0.61431,0.71795,0.69714,0.56368,0.61075,0.71383,0.69496,0.53049,0.93656,1.18511,0.84384,0.99354,0.006898,0.006898,0.006898
96,7434.27,1.03201,1.36407,0.88896,0.99249,0.68429,0.66761,0.70171,0.56762,0.67646,0.6677,0.69902,0.53339,0.93034,1.21298,0.81423,0.99145,0.006865,0.006865,0.006865
97,7512.45,1.00355,1.32859,0.88427,0.98499,0.67628,0.70689,0.70325,0.56807,0.6785,0.70556,0.70116,0.52688,0.93522,1.18532,0.8345,0.99854,0.006832,0.006832,0.006832
98,7594.03,1.01558,1.34474,0.87145,0.98963,0.61937,0.71099,0.7061,0.57899,0.61381,0.70882,0.70197,0.54205,0.91086,1.18233,0.82348,0.98738,0.006799,0.006799,0.006799
99,7673.74,1.01032,1.32702,0.87991,0.98821,0.78916,0.61908,0.69838,0.56212,0.78538,0.61616,0.69543,0.53646,0.9427,1.18188,0.82037,1.00056,0.006766,0.006766,0.006766
100,7745.76,1.01141,1.33568,0.88889,0.98565,0.61431,0.69461,0.69413,0.56502,0.61248,0.69346,0.69247,0.52799,0.94165,1.15603,0.81982,0.99954,0.006733,0.006733,0.006733
101,7824.28,1.00135,1.31606,0.86466,0.98541,0.77266,0.63189,0.69617,0.56953,0.77417,0.6333,0.69817,0.53306,0.90451,1.17988,0.82422,0.98833,0.0067,0.0067,0.0067
102,7896.98,1.01106,1.32609,0.88776,0.98676,0.60268,0.72688,0.70177,0.57541,0.62886,0.69785,0.70089,0.54051,0.91302,1.17163,0.81432,0.98268,0.006667,0.006667,0.006667
103,7975.67,0.99176,1.29771,0.86421,0.98193,0.64715,0.70927,0.71202,0.57901,0.6453,0.70721,0.71019,0.54699,0.91399,1.17836,0.80541,0.9929,0.006634,0.006634,0.006634
104,8058.01,1.00723,1.32476,0.87063,0.97954,0.64361,0.69985,0.69193,0.56562,0.64094,0.69152,0.69114,0.53219,0.91666,1.1677,0.83968,0.98703,0.006601,0.006601,0.006601
105,8132.81,1.01047,1.3221,0.8719,0.99274,0.63028,0.71957,0.70519,0.57981,0.62852,0.7176,0.70331,0.53895,0.90414,1.17238,0.81343,0.98673,0.006568,0.006568,0.006568
106,8213.86,0.99459,1.3036,0.87076,0.98553,0.62513,0.67899,0.69506,0.56587,0.6261,0.6811,0.696,0.53441,0.91918,1.16819,0.82085,0.9899,0.006535,0.006535,0.006535
107,8296.71,0.99556,1.30397,0.86008,0.98201,0.57706,0.72373,0.69733,0.57043,0.57367,0.71969,0.69586,0.53733,0.92393,1.16646,0.80785,0.9945,0.006502,0.006502,0.006502
108,8370.94,1.011,1.3204,0.8712,0.98598,0.69198,0.66861,0.71091,0.58207,0.68994,0.66645,0.71025,0.54333,0.91883,1.17937,0.83099,0.98782,0.006469,0.006469,0.006469
109,8453.81,1.00664,1.31058,0.86991,0.98442,0.67711,0.66746,0.72035,0.59031,0.67623,0.66684,0.72049,0.55409,0.91487,1.15437,0.80956,0.99049,0.006436,0.006436,0.006436
110,8534.97,0.99631,1.32903,0.85883,0.97798,0.67969,0.67305,0.70085,0.57544,0.67944,0.67254,0.69962,0.53633,0.91694,1.18401,0.80022,0.98795,0.006403,0.006403,0.006403
111,8608.15,0.99799,1.31397,0.85473,0.9844,0.6568,0.66219,0.70526,0.58048,0.65675,0.661,0.70722,0.54183,0.92042,1.17743,0.82937,0.99133,0.00637,0.00637,0.00637
112,8682.25,1.00518,1.30429,0.85898,0.97754,0.61908,0.71887,0.7037,0.57644,0.61606,0.71556,0.70039,0.53969,0.90933,1.17357,0.80342,0.98858,0.006337,0.006337,0.006337
113,8760.07,1.00487,1.33897,0.87351,0.98205,0.65151,0.65961,0.6966,0.57166,0.65102,0.65742,0.6938,0.52718,0.90857,1.17068,0.80968,0.98516,0.006304,0.006304,0.006304
114,8833.62,0.99487,1.31166,0.85773,0.97912,0.62362,0.75258,0.70952,0.57776,0.62016,0.74783,0.7065,0.53761,0.92319,1.17928,0.83252,0.9978,0.006271,0.006271,0.006271
115,8908.04,0.99049,1.31665,0.86459,0.98383,0.61055,0.76729,0.71541,0.59059,0.60787,0.76372,0.71116,0.54445,0.91684,1.1565,0.81141,0.99289,0.006238,0.006238,0.006238
116,8983.72,1.01585,1.32952,0.8538,0.98506,0.54582,0.75633,0.7021,0.57949,0.58068,0.69735,0.70164,0.53453,0.89675,1.17707,0.79484,0.98281,0.006205,0.006205,0.006205
117,9055.43,1.00681,1.3406,0.86053,0.98552,0.66742,0.67917,0.70913,0.57983,0.66652,0.67854,0.70627,0.53958,0.89873,1.16098,0.8043,0.98468,0.006172,0.006172,0.006172
118,9129.1,0.99025,1.30584,0.84872,0.97953,0.6068,0.72462,0.69664,0.5694,0.60479,0.72219,0.69456,0.53218,0.90454,1.16149,0.81304,0.9885,0.006139,0.006139,0.006139
119,9210.17,0.9981,1.32355,0.86189,0.98353,0.61994,0.70709,0.71562,0.58422,0.61651,0.70304,0.71216,0.54231,0.90844,1.17146,0.79443,0.99015,0.006106,0.006106,0.006106
120,9284.21,0.99915,1.30986,0.84987,0.98295,0.6419,0.69115,0.70905,0.58146,0.64238,0.69084,0.70724,0.54591,0.90012,1.16309,0.80614,0.98,0.006073,0.006073,0.006073
121,9363.02,1.01226,1.3164,0.86457,0.98044,0.59249,0.7271,0.69556,0.57341,0.59099,0.72531,0.69308,0.52815,0.90228,1.16356,0.80792,0.98178,0.00604,0.00604,0.00604
122,9441.19,1.00038,1.32893,0.85883,0.98084,0.59999,0.69892,0.69227,0.57028,0.59718,0.69531,0.68983,0.52743,0.89662,1.16453,0.80398,0.98271,0.006007,0.006007,0.006007
123,9514.31,0.98887,1.32844,0.84228,0.97173,0.79024,0.63219,0.70734,0.58374,0.78789,0.63013,0.7039,0.54054,0.89132,1.17158,0.7912,0.97974,0.005974,0.005974,0.005974
124,9593.42,0.99044,1.30489,0.85437,0.97365,0.64559,0.64287,0.69696,0.57275,0.64428,0.64111,0.69442,0.53777,0.90689,1.15973,0.80554,0.98725,0.005941,0.005941,0.005941
125,9671.49,0.99001,1.29601,0.8449,0.97607,0.60129,0.7345,0.7051,0.57865,0.60975,0.71821,0.70271,0.53758,0.9039,1.17066,0.81761,0.98339,0.005908,0.005908,0.005908
126,9745.98,1.00329,1.3203,0.86025,0.97752,0.6957,0.65728,0.69517,0.57543,0.69353,0.65531,0.69328,0.5324,0.90451,1.16677,0.80558,0.98194,0.005875,0.005875,0.005875
127,9824.88,0.98393,1.29698,0.84142,0.97338,0.64233,0.67961,0.69708,0.57636,0.64347,0.67684,0.69454,0.53314,0.88768,1.15373,0.79954,0.97728,0.005842,0.005842,0.005842
128,9905.39,0.98685,1.2925,0.85383,0.9751,0.61961,0.69407,0.6867,0.56655,0.62019,0.69768,0.68615,0.52664,0.89974,1.15939,0.81322,0.97939,0.005809,0.005809,0.005809
129,9981.15,1.00612,1.32992,0.84844,0.98714,0.59234,0.70961,0.68971,0.56724,0.5893,0.70593,0.68578,0.52687,0.89062,1.16136,0.80686,0.9808,0.005776,0.005776,0.005776
